Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/24/2023,38-298,LAL,@,DEN,L (-12),1,29:00:00,10,16,0.625,1,4,0.25,0,1,0,1,7,8,5,1,0,0,1,21,20.3,7
2,2,10/26/2023,38-300,LAL,,PHO,W (+5),1,35:00:00,7,14,0.5,1,5,0.2,6,8,0.75,1,7,8,9,2,2,5,1,21,20.3,22
3,3,10/29/2023,38-303,LAL,@,SAC,L (-5),1,39:05:00,11,19,0.579,3,8,0.375,2,6,0.333,0,15,15,8,0,0,8,2,27,17.8,-5
4,4,10/30/2023,38-304,LAL,,ORL,W (+3),1,32:47:00,7,17,0.412,2,6,0.333,3,4,0.75,0,3,3,4,3,1,5,0,19,11.9,5
5,5,11/1/2023,38-306,LAL,,LAC,W (+5),1,42:29:00,13,19,0.684,4,8,0.5,5,10,0.5,0,12,12,7,1,2,4,3,35,30.6,6
6,6,11/4/2023,38-309,LAL,@,ORL,L (-19),1,35:13:00,8,15,0.533,2,5,0.4,6,7,0.857,1,8,9,5,3,0,3,1,24,22.5,12
7,7,11/6/2023,38-311,LAL,@,MIA,L (-1),1,37:24:00,13,23,0.565,0,4,0,4,4,1,0,4,4,3,1,3,5,4,30,18.9,6
8,8,11/8/2023,38-313,LAL,@,HOU,L (-34),1,27:12:00,7,13,0.538,0,2,0,4,5,0.8,1,5,6,2,0,0,3,1,18,11.5,-24
9,9,11/10/2023,38-315,LAL,@,PHO,W (+3),1,36:23:00,11,17,0.647,3,4,0.75,7,11,0.636,1,10,11,6,1,1,4,1,32,28.1,2
10,,11/12/2023,38-317,LAL,,POR,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
11,10,11/14/2023,38-319,LAL,,MEM,W (+27),1,22:39,6,11,0.545,3,6,0.5,1,2,0.5,0,9,9,6,1,0,4,1,16,13.8,15
12,11,11/15/2023,38-320,LAL,,SAC,L (-15),1,35:18:00,9,15,0.6,3,7,0.429,7,8,0.875,2,8,10,12,4,1,6,1,28,31.2,0
13,12,11/17/2023,38-322,LAL,@,POR,W (+12),1,34:32:00,13,22,0.591,5,9,0.556,4,6,0.667,0,5,5,9,2,0,3,3,35,29.6,18
14,13,11/19/2023,38-324,LAL,,HOU,W (+1),1,39:35:00,14,19,0.737,2,5,0.4,7,9,0.778,1,5,6,8,3,0,2,0,37,37.3,2
15,14,11/21/2023,38-326,LAL,,UTA,W (+32),1,24:01:00,6,10,0.6,3,5,0.6,2,2,1,1,6,7,9,0,0,2,0,17,19.2,14
16,15,11/22/2023,38-327,LAL,,DAL,L (-3),1,36:01:00,9,19,0.474,4,9,0.444,4,7,0.571,2,7,9,7,0,0,3,0,26,20.5,7
17,16,11/25/2023,38-330,LAL,@,CLE,W (+6),1,35:35:00,8,23,0.348,1,9,0.111,5,7,0.714,1,5,6,6,2,2,4,1,22,13.7,2
18,17,11/27/2023,38-332,LAL,@,PHI,L (-44),1,29:32:00,8,12,0.667,1,1,1,1,2,0.5,0,0,0,5,1,1,1,0,18,16.6,-30
19,18,11/29/2023,38-334,LAL,@,DET,W (+26),1,28:42:00,9,19,0.474,2,6,0.333,5,5,1,2,6,8,3,0,0,1,0,25,19.6,26
20,19,11/30/2023,38-335,LAL,@,OKC,L (-23),1,35:03:00,7,12,0.583,4,8,0.5,3,4,0.75,2,10,12,6,1,1,5,1,21,19.9,-18
21,20,12/2/2023,38-337,LAL,,HOU,W (+10),1,35:22:00,7,17,0.412,0,4,0,2,5,0.4,0,4,4,7,1,1,5,0,16,8.5,16
22,21,12/5/2023,38-340,LAL,,PHO,W (+3),1,40:10:00,12,25,0.48,2,4,0.5,5,6,0.833,3,5,8,11,5,0,2,3,31,31,12
23,22,12/7/2023,38-342,LAL,,NOP,W (+44),1,22:32,9,12,0.75,4,4,1,8,8,1,0,5,5,8,0,0,0,1,30,31.9,36
